,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000178726.7,2828.961007,-2.438005623,0.145512302,-16.75463585,5.24E-63,4.10E-61
ENSG00000067177.15,1117.310806,1.645420114,0.098233859,16.75003026,5.66E-63,4.42E-61
ENSG00000183019.7,783.5395287,-4.027660623,0.240602889,-16.73986809,6.71E-63,5.23E-61
ENSG00000233746.2,6.651972329,-3.514715401,0.209996234,-16.73704017,7.04E-63,5.47E-61
ENSG00000237523.2,192.5774675,2.27379517,0.135995968,16.71957781,9.44E-63,7.32E-61
ENSG00000067082.15,10069.42245,-1.787317909,0.10693019,-16.71481092,1.02E-62,7.91E-61
ENSG00000104783.14,2380.510578,3.238915559,0.193798936,16.71276237,1.06E-62,8.17E-61
ENSG00000108773.11,2778.701915,1.699904773,0.101730977,16.70980492,1.11E-62,8.57E-61
ENSG00000103269.14,234.3382294,3.193846521,0.191164705,16.70730234,1.16E-62,8.91E-61
ENSG00000137474.22,771.4757145,1.985908704,0.118877757,16.7054691,1.20E-62,9.17E-61
ENSG00000105613.10,96.88589436,3.258070828,0.195130891,16.69684802,1.38E-62,1.06E-60
ENSG00000132677.13,46.66294705,4.640409842,0.277962673,16.69436331,1.44E-62,1.10E-60
ENSG00000162063.13,697.9172079,1.88007821,0.112622116,16.69368573,1.46E-62,1.11E-60
ENSG00000184374.3,37.9506799,-3.115383907,0.186733549,-16.68357899,1.73E-62,1.31E-60
ENSG00000224397.7,821.1410644,-2.527634482,0.151675192,-16.66478509,2.36E-62,1.79E-60
ENSG00000254560.6,82.544192,5.590400445,0.335478867,16.66394218,2.40E-62,1.81E-60
ENSG00000002726.21,1823.536413,4.980691672,0.298981169,16.65888087,2.61E-62,1.97E-60
ENSG00000134827.8,1126.368774,6.721346721,0.40356203,16.65505229,2.78E-62,2.09E-60
ENSG00000110660.15,1884.672112,1.867996327,0.11219009,16.65027932,3.01E-62,2.26E-60
ENSG00000187741.15,626.7207311,1.960371432,0.117757568,16.64751966,3.15E-62,2.36E-60
ENSG00000133466.14,1218.340872,2.289636803,0.137559591,16.64469039,3.31E-62,2.47E-60
ENSG00000140932.10,21.44687927,-2.305966476,0.138601154,-16.63742626,3.73E-62,2.78E-60
ENSG00000144354.14,1169.2619,2.922111493,0.175769548,16.62467437,4.62E-62,3.44E-60
ENSG00000185010.15,985.0440339,-1.809170701,0.108835936,-16.62291671,4.76E-62,3.53E-60
ENSG00000171631.15,815.2507531,2.992637589,0.180041573,16.62192534,4.84E-62,3.58E-60
ENSG00000198074.10,3084.124727,7.366768033,0.443873539,16.59654696,7.38E-62,5.46E-60
